CropName,SoilType,Disease,Treatment,Practice,Region,GrowthDuration,OptimalTemp
Maize,Red Loamy,Smut,Resistant Varieties,Mulching,Chitradurga,120 days,25–30°C
Finger Millet,Red Loamy,Blast,Fungicide Spray,Mulching,Raichur,90 days,20–25°C
Rice,Alluvial,Smut,Fungicide Spray,SRI Method,Ballari,120 days,30–35°C
Finger Millet,Red Loamy,Rust,Crop Rotation,Mulching,Ballari,120 days,20–25°C
Rice,Black Cotton,Blast,Crop Rotation,Drip Irrigation,Vijayapura,150 days,25–30°C
Groundnut,Red Loamy,Rust,Crop Rotation,Organic Farming,Kodagu,150 days,25–30°C
Sugarcane,Alluvial,Wilt,Crop Rotation,Mulching,Bengaluru Rural,180 days,30–35°C
Sugarcane,Alluvial,Wilt,Fungicide Spray,Mulching,Dakshina Kannada,180 days,30–35°C
Rice,Black Cotton,Smut,Resistant Varieties,Drip Irrigation,Kalaburagi,120 days,30–35°C
Maize,Black Cotton,Smut,Crop Rotation,Drip Irrigation,Dharwad,90 days,25–30°C
Finger Millet,Laterite,Rust,Resistant Varieties,Mulching,Kalaburagi,120 days,25–30°C
Finger Millet,Laterite,Rust,Resistant Varieties,Organic Farming,Chikkamagaluru,90 days,25–30°C
Groundnut,Red Loamy,Rust,Resistant Varieties,Organic Farming,Bengaluru Rural,120 days,25–30°C
Groundnut,Alluvial,Rust,Crop Rotation,Organic Farming,Kalaburagi,120 days,25–30°C
Maize,Black Cotton,Smut,Crop Rotation,Mulching,Udupi,120 days,30–35°C
Rice,Red Loamy,Smut,Fungicide Spray,SRI Method,Mandya,150 days,30–35°C
Maize,Red Loamy,Rust,Resistant Varieties,Drip Irrigation,Kodagu,90 days,30–35°C
Groundnut,Alluvial,Rust,Crop Rotation,Organic Farming,Kalaburagi,120 days,25–30°C
Groundnut,Alluvial,Wilt,Resistant Varieties,Organic Farming,Vijayapura,150 days,25–30°C
Rice,Red Loamy,Blast,Resistant Varieties,SRI Method,Mandya,180 days,30–35°C
Rice,Alluvial,Smut,Crop Rotation,SRI Method,Udupi,180 days,25–30°C
Rice,Black Cotton,Blast,Resistant Varieties,Drip Irrigation,Mandya,150 days,25–30°C
Rice,Red Loamy,Smut,Fungicide Spray,SRI Method,Bengaluru Rural,120 days,25–30°C
Maize,Black Cotton,Rust,Fungicide Spray,Drip Irrigation,Udupi,120 days,25–30°C
Maize,Black Cotton,Rust,Crop Rotation,Mulching,Shivamogga,90 days,30–35°C
Maize,Red Loamy,Smut,Fungicide Spray,Drip Irrigation,Davangere,90 days,30–35°C
Finger Millet,Laterite,Blast,Resistant Varieties,Organic Farming,Davangere,120 days,25–30°C
Groundnut,Laterite,Wilt,Crop Rotation,Mulching,Mysuru,150 days,25–30°C
Maize,Red Loamy,Rust,Fungicide Spray,Drip Irrigation,Shivamogga,90 days,25–30°C
Sugarcane,Black Cotton,Smut,Resistant Varieties,Mulching,Tumakuru,180 days,30–35°C
Rice,Black Cotton,Smut,Crop Rotation,Drip Irrigation,Mandya,120 days,25–30°C
Sugarcane,Black Cotton,Smut,Fungicide Spray,Drip Irrigation,Udupi,180 days,30–35°C
Groundnut,Laterite,Rust,Crop Rotation,Mulching,Bengaluru Urban,150 days,25–30°C
Groundnut,Red Loamy,Rust,Resistant Varieties,Organic Farming,Udupi,150 days,25–30°C
Sugarcane,Alluvial,Smut,Resistant Varieties,Drip Irrigation,Kalaburagi,180 days,30–35°C
Finger Millet,Red Loamy,Rust,Fungicide Spray,Organic Farming,Chitradurga,120 days,20–25°C
Finger Millet,Red Loamy,Blast,Resistant Varieties,Mulching,Belagavi,90 days,25–30°C
Rice,Alluvial,Blast,Resistant Varieties,SRI Method,Davangere,120 days,30–35°C
Rice,Red Loamy,Blast,Resistant Varieties,SRI Method,Davangere,150 days,25–30°C
Sugarcane,Black Cotton,Smut,Resistant Varieties,Mulching,Kalaburagi,180 days,30–35°C
Finger Millet,Red Loamy,Blast,Fungicide Spray,Organic Farming,Tumakuru,120 days,25–30°C
Sugarcane,Black Cotton,Wilt,Fungicide Spray,Drip Irrigation,Shivamogga,180 days,30–35°C
Maize,Red Loamy,Rust,Resistant Varieties,Drip Irrigation,Raichur,120 days,25–30°C
Groundnut,Laterite,Wilt,Fungicide Spray,Organic Farming,Mysuru,120 days,25–30°C
Finger Millet,Laterite,Rust,Resistant Varieties,Mulching,Chitradurga,120 days,20–25°C
Rice,Red Loamy,Blast,Crop Rotation,Drip Irrigation,Udupi,120 days,25–30°C
Finger Millet,Laterite,Blast,Fungicide Spray,Mulching,Kolar,120 days,25–30°C
Sugarcane,Alluvial,Smut,Fungicide Spray,Mulching,Mysuru,180 days,30–35°C
Finger Millet,Laterite,Blast,Resistant Varieties,Mulching,Bagalkote,120 days,25–30°C
Groundnut,Red Loamy,Rust,Crop Rotation,Organic Farming,Kalaburagi,120 days,25–30°C
Sugarcane,Alluvial,Smut,Resistant Varieties,Drip Irrigation,Kalaburagi,180 days,30–35°C
Groundnut,Red Loamy,Rust,Resistant Varieties,Organic Farming,Bagalkote,120 days,25–30°C
Groundnut,Laterite,Rust,Crop Rotation,Organic Farming,Shivamogga,120 days,25–30°C
Maize,Red Loamy,Rust,Resistant Varieties,Drip Irrigation,Kodagu,150 days,30–35°C
Groundnut,Laterite,Wilt,Fungicide Spray,Organic Farming,Tumakuru,150 days,25–30°C
Groundnut,Alluvial,Rust,Crop Rotation,Organic Farming,Vijayapura,120 days,25–30°C
Maize,Black Cotton,Smut,Crop Rotation,Mulching,Mandya,90 days,25–30°C
Groundnut,Laterite,Wilt,Resistant Varieties,Organic Farming,Vijayapura,120 days,25–30°C
Finger Millet,Red Loamy,Blast,Fungicide Spray,Mulching,Mandya,90 days,25–30°C
Sugarcane,Black Cotton,Wilt,Crop Rotation,Drip Irrigation,Chikkamagaluru,180 days,30–35°C
Groundnut,Red Loamy,Rust,Fungicide Spray,Organic Farming,Chitradurga,120 days,25–30°C
Maize,Red Loamy,Smut,Resistant Varieties,Mulching,Bagalkote,150 days,30–35°C
Finger Millet,Laterite,Rust,Resistant Varieties,Organic Farming,Dakshina Kannada,120 days,20–25°C
Maize,Red Loamy,Smut,Crop Rotation,Mulching,Shivamogga,90 days,30–35°C
Maize,Black Cotton,Rust,Fungicide Spray,Mulching,Bagalkote,90 days,30–35°C
Finger Millet,Laterite,Rust,Fungicide Spray,Mulching,Mandya,90 days,20–25°C
Rice,Black Cotton,Blast,Crop Rotation,Drip Irrigation,Dakshina Kannada,180 days,30–35°C
Finger Millet,Laterite,Rust,Resistant Varieties,Organic Farming,Dharwad,120 days,25–30°C
Sugarcane,Alluvial,Smut,Resistant Varieties,Mulching,Tumakuru,180 days,30–35°C
Finger Millet,Laterite,Blast,Crop Rotation,Mulching,Dakshina Kannada,90 days,20–25°C
Maize,Black Cotton,Smut,Fungicide Spray,Drip Irrigation,Chitradurga,90 days,25–30°C
Maize,Red Loamy,Smut,Crop Rotation,Drip Irrigation,Dakshina Kannada,90 days,30–35°C
Finger Millet,Red Loamy,Blast,Crop Rotation,Organic Farming,Mandya,90 days,25–30°C
Maize,Black Cotton,Smut,Fungicide Spray,Drip Irrigation,Vijayapura,90 days,25–30°C
Sugarcane,Alluvial,Smut,Fungicide Spray,Drip Irrigation,Dakshina Kannada,180 days,30–35°C
Maize,Red Loamy,Rust,Fungicide Spray,Drip Irrigation,Raichur,90 days,25–30°C
Groundnut,Laterite,Rust,Crop Rotation,Mulching,Dakshina Kannada,120 days,25–30°C
Rice,Red Loamy,Smut,Crop Rotation,Drip Irrigation,Davangere,150 days,25–30°C
Groundnut,Red Loamy,Wilt,Crop Rotation,Mulching,Mysuru,120 days,25–30°C
Finger Millet,Red Loamy,Blast,Fungicide Spray,Organic Farming,Mandya,90 days,20–25°C
Sugarcane,Alluvial,Wilt,Crop Rotation,Drip Irrigation,Vijayapura,180 days,30–35°C
Maize,Black Cotton,Rust,Crop Rotation,Drip Irrigation,Bagalkote,90 days,30–35°C
Maize,Red Loamy,Rust,Crop Rotation,Mulching,Chitradurga,150 days,25–30°C
Sugarcane,Alluvial,Wilt,Crop Rotation,Drip Irrigation,Raichur,180 days,30–35°C
Maize,Black Cotton,Smut,Fungicide Spray,Drip Irrigation,Shivamogga,150 days,30–35°C
Groundnut,Red Loamy,Wilt,Crop Rotation,Organic Farming,Belagavi,150 days,25–30°C
Rice,Red Loamy,Blast,Resistant Varieties,Drip Irrigation,Shivamogga,180 days,25–30°C
Finger Millet,Red Loamy,Blast,Crop Rotation,Mulching,Vijayapura,90 days,25–30°C
Finger Millet,Laterite,Rust,Resistant Varieties,Mulching,Tumakuru,120 days,20–25°C
Sugarcane,Black Cotton,Smut,Resistant Varieties,Drip Irrigation,Vijayapura,180 days,30–35°C
Rice,Black Cotton,Smut,Fungicide Spray,SRI Method,Vijayapura,180 days,30–35°C
Sugarcane,Black Cotton,Smut,Resistant Varieties,Mulching,Kalaburagi,180 days,30–35°C
Finger Millet,Laterite,Blast,Resistant Varieties,Mulching,Raichur,90 days,25–30°C
Sugarcane,Black Cotton,Wilt,Resistant Varieties,Drip Irrigation,Shivamogga,180 days,30–35°C
Rice,Black Cotton,Blast,Crop Rotation,Drip Irrigation,Dharwad,150 days,30–35°C
Finger Millet,Laterite,Blast,Resistant Varieties,Mulching,Udupi,120 days,25–30°C
