CropName,SoilType,Disease,Treatment,Practice,Region,GrowthDuration,OptimalTemp
Arhar/Tur,Peaty,Blight,Fungicide Spray,Mulching,Madhya Pradesh,120 days,25–30°C
Garlic,Alluvial,Wilt,Fungicide Spray,Mulching,Goa,150 days,20–25°C
Barley,Sandy,Blight,Crop Rotation,Mulching,Maharashtra,120 days,25–30°C
Garlic,Alluvial,Rust,Crop Rotation,Mulching,Goa,90 days,25–30°C
Niger Seed,Red Loamy,Rust,Crop Rotation,Mulching,Maharashtra,120 days,25–30°C
Coconut,Laterite,Wilt,Crop Rotation,Organic Farming,Mizoram,150 days,25–30°C
Garlic,Red Loamy,Wilt,Crop Rotation,Organic Farming,Tripura,90 days,20–25°C
Tapioca,Peaty,Blight,Fungicide Spray,Organic Farming,Karnataka,120 days,25–30°C
Masoor,Red Loamy,Blight,Soil Solarization,Organic Farming,Madhya Pradesh,90 days,20–25°C
Jute,Black Cotton,Rust,Fungicide Spray,Organic Farming,Goa,90 days,25–30°C
Banana,Laterite,Rust,Soil Solarization,Organic Farming,Karnataka,150 days,20–25°C
Bajra,Red Loamy,Blight,Neem Extract,Organic Farming,Mizoram,120 days,20–25°C
Arhar/Tur,Laterite,Wilt,Neem Extract,Mulching,Haryana,90 days,20–25°C
Groundnut,Sandy,Blight,Crop Rotation,Organic Farming,Goa,150 days,20–25°C
Jute,Laterite,Wilt,Crop Rotation,Mulching,Punjab,90 days,20–25°C
Barley,Sandy,Wilt,Neem Extract,Organic Farming,Maharashtra,150 days,25–30°C
Sweet Potato,Red Loamy,Blight,Resistant Varieties,Mulching,West Bengal,150 days,20–25°C
Ginger,Black Cotton,Wilt,Neem Extract,Mulching,Maharashtra,150 days,20–25°C
Jute,Black Cotton,Wilt,Neem Extract,Mulching,Goa,120 days,20–25°C
Cardamom,Black Cotton,Rust,Crop Rotation,Mulching,Himachal Pradesh,120 days,20–25°C
Coriander,Sandy,Rust,Neem Extract,Mulching,Nagaland,150 days,25–30°C
Sesamum,Black Cotton,Rust,Neem Extract,Organic Farming,Gujarat,120 days,25–30°C
Sweet Potato,Red Loamy,Wilt,Crop Rotation,Organic Farming,Mizoram,90 days,25–30°C
Niger Seed,Red Loamy,Rust,Fungicide Spray,Organic Farming,Haryana,120 days,20–25°C
Jowar,Red Loamy,Wilt,Neem Extract,Organic Farming,Gujarat,150 days,20–25°C
Masoor,Red Loamy,Wilt,Resistant Varieties,Mulching,West Bengal,90 days,20–25°C
Soyabean,Black Cotton,Blight,Crop Rotation,Organic Farming,Bihar,120 days,25–30°C
Urad,Red Loamy,Blight,Neem Extract,Organic Farming,Nagaland,150 days,20–25°C
Peas & beans (Pulses),Black Cotton,Blight,Soil Solarization,Organic Farming,Punjab,90 days,25–30°C
Coconut,Laterite,Rust,Neem Extract,Organic Farming,Andhra Pradesh,120 days,20–25°C
Coriander,Red Loamy,Wilt,Fungicide Spray,Mulching,Sikkim,150 days,20–25°C
Khesari,Black Cotton,Blight,Crop Rotation,Organic Farming,Assam,150 days,25–30°C
Sweet Potato,Black Cotton,Blight,Neem Extract,Mulching,Mizoram,90 days,20–25°C
Ragi,Laterite,Rust,Resistant Varieties,Organic Farming,Gujarat,90 days,25–30°C
Banana,Red Loamy,Blight,Soil Solarization,Organic Farming,Jharkhand,120 days,20–25°C
Sunflower,Black Cotton,Blight,Neem Extract,Mulching,West Bengal,120 days,20–25°C
Cardamom,Black Cotton,Blight,Resistant Varieties,Mulching,Karnataka,120 days,20–25°C
Wheat,Sandy,Rust,Resistant Varieties,Irrigation,Punjab,150 days,15–20°C
Garlic,Red Loamy,Wilt,Fungicide Spray,Mulching,Bihar,150 days,20–25°C
Sunflower,Red Loamy,Wilt,Resistant Varieties,Mulching,Himachal Pradesh,120 days,25–30°C
Soyabean,Black Cotton,Rust,Neem Extract,Mulching,Sikkim,120 days,20–25°C
Turmeric,Sandy,Rust,Crop Rotation,Mulching,Goa,120 days,20–25°C
Urad,Red Loamy,Blight,Fungicide Spray,Mulching,Goa,90 days,25–30°C
Soyabean,Red Loamy,Wilt,Resistant Varieties,Organic Farming,Bihar,120 days,20–25°C
Urad,Black Cotton,Blight,Crop Rotation,Mulching,Goa,90 days,20–25°C
Moong (Green Gram),Red Loamy,Blight,Resistant Varieties,Organic Farming,Odisha,120 days,20–25°C
Jute,Black Cotton,Blight,Soil Solarization,Organic Farming,Andhra Pradesh,120 days,25–30°C
Bajra,Red Loamy,Rust,Resistant Varieties,Organic Farming,Mizoram,120 days,20–25°C
Jowar,Peaty,Blight,Neem Extract,Mulching,Karnataka,90 days,25–30°C
Ragi,Black Cotton,Blight,Crop Rotation,Organic Farming,Meghalaya,120 days,25–30°C
Castor Seed,Alluvial,Wilt,Soil Solarization,Organic Farming,Goa,120 days,25–30°C
Tapioca,Peaty,Blight,Soil Solarization,Mulching,Sikkim,120 days,20–25°C
Maize,Black Cotton,Smut,Crop Rotation,Drip Irrigation,Maharashtra,90 days,25–30°C
Ginger,Black Cotton,Rust,Fungicide Spray,Organic Farming,Meghalaya,90 days,20–25°C
Sweet Potato,Red Loamy,Blight,Soil Solarization,Organic Farming,Mizoram,120 days,25–30°C
Cotton,Peaty,Wilt,Soil Solarization,Organic Farming,Odisha,150 days,25–30°C
Coriander,Red Loamy,Blight,Resistant Varieties,Organic Farming,Telangana,120 days,25–30°C
Banana,Laterite,Rust,Resistant Varieties,Organic Farming,Karnataka,120 days,25–30°C
Maize,Red Loamy,Rust,Resistant Varieties,Mulching,Maharashtra,120 days,30–35°C
Arhar/Tur,Peaty,Wilt,Resistant Varieties,Organic Farming,Haryana,150 days,20–25°C
Ragi,Black Cotton,Blight,Resistant Varieties,Organic Farming,Himachal Pradesh,150 days,25–30°C
Niger Seed,Red Loamy,Wilt,Neem Extract,Mulching,Andhra Pradesh,120 days,20–25°C
Niger Seed,Red Loamy,Wilt,Neem Extract,Mulching,Maharashtra,150 days,25–30°C
Moong (Green Gram),Peaty,Blight,Neem Extract,Organic Farming,Karnataka,150 days,25–30°C
Barley,Sandy,Wilt,Resistant Varieties,Organic Farming,Meghalaya,150 days,25–30°C
Cotton,Peaty,Blight,Crop Rotation,Mulching,Kerala,120 days,20–25°C
Cowpea (Lobia),Laterite,Blight,Crop Rotation,Organic Farming,Goa,120 days,25–30°C
Garlic,Red Loamy,Blight,Fungicide Spray,Organic Farming,Telangana,150 days,20–25°C
Black pepper,Alluvial,Rust,Crop Rotation,Mulching,West Bengal,90 days,20–25°C
Sugarcane,Sandy,Wilt,Soil Solarization,Mulching,Mizoram,150 days,25–30°C
Wheat,Sandy,Smut,Fungicide Spray,Irrigation,Bihar,120 days,15–20°C
Black pepper,Peaty,Rust,Crop Rotation,Organic Farming,West Bengal,150 days,25–30°C
Soyabean,Black Cotton,Blight,Crop Rotation,Mulching,Sikkim,120 days,25–30°C
Arecanut,Alluvial,Rust,Fungicide Spray,Organic Farming,Jharkhand,120 days,25–30°C
Dry Chillies,Peaty,Blight,Soil Solarization,Organic Farming,Tamil Nadu,90 days,25–30°C
Onion,Black Cotton,Blight,Fungicide Spray,Mulching,Chhattisgarh,90 days,20–25°C
Sesamum,Laterite,Blight,Fungicide Spray,Organic Farming,Himachal Pradesh,90 days,25–30°C
Masoor,Red Loamy,Rust,Resistant Varieties,Mulching,Karnataka,150 days,25–30°C
Arecanut,Alluvial,Blight,Soil Solarization,Organic Farming,Meghalaya,120 days,25–30°C
Peas & beans (Pulses),Black Cotton,Rust,Resistant Varieties,Organic Farming,Punjab,120 days,25–30°C
Wheat,Sandy,Smut,Fungicide Spray,Irrigation,Uttar Pradesh,150 days,20–25°C
Cowpea (Lobia),Sandy,Wilt,Fungicide Spray,Mulching,Manipur,150 days,20–25°C
Onion,Black Cotton,Rust,Fungicide Spray,Organic Farming,Bihar,90 days,25–30°C
Sweet Potato,Black Cotton,Rust,Neem Extract,Mulching,Uttarakhand,120 days,20–25°C
Khesari,Black Cotton,Rust,Resistant Varieties,Mulching,Assam,90 days,25–30°C
Tobacco,Black Cotton,Blight,Fungicide Spray,Organic Farming,Punjab,90 days,25–30°C
Cotton,Peaty,Rust,Resistant Varieties,Mulching,Jharkhand,90 days,25–30°C
Peas & beans (Pulses),Black Cotton,Rust,Neem Extract,Mulching,Telangana,120 days,25–30°C
Rice,Alluvial,Blast,Crop Rotation,SRI Method,Assam,120 days,30–35°C
Sesamum,Black Cotton,Blight,Soil Solarization,Organic Farming,Bihar,90 days,20–25°C
Black pepper,Peaty,Rust,Soil Solarization,Organic Farming,Bihar,150 days,20–25°C
Gram,Red Loamy,Blight,Soil Solarization,Mulching,Odisha,90 days,25–30°C
Cashewnut,Black Cotton,Wilt,Crop Rotation,Mulching,Bihar,90 days,20–25°C
Barley,Alluvial,Rust,Resistant Varieties,Mulching,Meghalaya,90 days,20–25°C
Cotton,Black Cotton,Blight,Soil Solarization,Mulching,Telangana,120 days,20–25°C
Cashewnut,Laterite,Wilt,Crop Rotation,Mulching,Gujarat,90 days,20–25°C
Bajra,Red Loamy,Rust,Neem Extract,Mulching,Nagaland,150 days,20–25°C
Coconut,Laterite,Wilt,Fungicide Spray,Mulching,Maharashtra,150 days,20–25°C
Ragi,Black Cotton,Blight,Resistant Varieties,Mulching,Rajasthan,150 days,25–30°C
Moong (Green Gram),Red Loamy,Wilt,Fungicide Spray,Organic Farming,Assam,90 days,20–25°C
Wheat,Alluvial,Smut,Soil Solarization,Irrigation,Uttar Pradesh,120 days,15–20°C
Cashewnut,Laterite,Wilt,Resistant Varieties,Organic Farming,Goa,150 days,20–25°C
Soyabean,Black Cotton,Rust,Resistant Varieties,Mulching,Jharkhand,120 days,20–25°C
Cashewnut,Black Cotton,Wilt,Neem Extract,Mulching,Sikkim,120 days,20–25°C
Horse Gram,Black Cotton,Blight,Crop Rotation,Mulching,Haryana,120 days,25–30°C
Coconut,Red Loamy,Wilt,Crop Rotation,Organic Farming,Mizoram,150 days,20–25°C
Arhar/Tur,Laterite,Blight,Neem Extract,Mulching,Manipur,90 days,20–25°C
Tobacco,Red Loamy,Wilt,Fungicide Spray,Mulching,Gujarat,120 days,25–30°C
